Filtering the log data using "process == "Voxa""
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-08 00:31:22.130891-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key increaseContrast in CFPrefsSearchListSource<0xab0c72180> (Domain: com.apple.universalaccess, Container: (null) Non-launch persona: 0)
2026-04-08 00:31:22.134788-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key NSAutomaticWindowAnimationsEnabled in CFPrefsSearchListSource<0xaaf8f5b80> (Domain: com.lufermalgo.voxa, Container: (null) Non-launch persona: 0)
2026-04-08 00:31:22.134800-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key reduceMotion in CFPrefsSearchListSource<0xab0c72180> (Domain: com.apple.universalaccess, Container: (null) Non-launch persona: 0)
2026-04-08 00:31:22.134813-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.134823-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.134831-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key reduceMotion in CFPrefsSearchListSource<0xab0c72180> (Domain: com.apple.universalaccess, Container: (null) Non-launch persona: 0)
2026-04-08 00:31:22.134837-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key ApplePersistenceIgnoreState in CFPrefsSearchListSource<0xaaf8f5b80> (Domain: com.lufermalgo.voxa, Container: (null) Non-launch persona: 0)
2026-04-08 00:31:22.134842-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key ApplePersistenceIgnoreStateQuietly in CFPrefsSearchListSource<0xaaf8f5b80> (Domain: com.lufermalgo.voxa, Container: (null) Non-launch persona: 0)
2026-04-08 00:31:22.134984-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key increaseContrast in CFPrefsSearchListSource<0xab0c72180> (Domain: com.apple.universalaccess, Container: (null) Non-launch persona: 0)
2026-04-08 00:31:22.134992-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key increaseContrast in CFPrefsSearchListSource<0xab0c72180> (Domain: com.apple.universalaccess, Container: (null) Non-launch persona: 0)
2026-04-08 00:31:22.135027-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.135034-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.135046-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.135051-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.135055-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.135060-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.135065-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.135069-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.135105-0500 0x6d75cf   Info        0x0                  48909  0    Voxa: (AppKit) [com.apple.AppKit:Window] order window: 1dd62 op: 1 relative: 0 related: 0
2026-04-08 00:31:22.135305-0500 0x6d75cf   Info        0x0                  48909  0    Voxa: (AppKit) [com.apple.AppKit:Window] parent <NSStatusBarWindow: 0xab1462580> windowNumber=100000000 add <NSPopupMenuWindow: 0xab137f000> windowNumber=1dd62 to group
2026-04-08 00:31:22.135331-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.135341-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (LaunchServices) [com.apple.launchservices:cas] _LSCopyApplicationInformationItem(sessionID=-2 asn=ASN:0x0-0x2: keyRef="ApplicationType")
2026-04-08 00:31:22.135368-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (AppKit) [com.apple.AppKit:Menu_Tracking] Start running event loop: 0xab180c180
2026-04-08 00:31:22.141433-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (BackBoardServices) [com.apple.BackBoard:EventDelivery] flushing changes: {
    contentsMask: 0x2; deferringRules: [];
}
2026-04-08 00:31:22.237922-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.CFBundle:resources] Resource lookup at <private>
	Request       : InfoPlist type: strings
	Result        : None
2026-04-08 00:31:22.238001-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.CFBundle:resources] Resource lookup at <private>
	Request       : InfoPlist type: stringsdict
	Result        : None
2026-04-08 00:31:22.238128-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.CFBundle:resources] Resource lookup at <private>
	Request       : InfoPlist type: strings
	Result        : None
2026-04-08 00:31:22.238165-0500 0x6d75cf   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.CFBundle:resources] Resource lookup at <private>
	Request       : InfoPlist type: stringsdict
	Result        : None
2026-04-08 00:31:22.238303-0500 0x6d76b9   Info        0x0                  48909  0    Voxa: (AppKit) [com.apple.AppKit:WindowTab] Indexing 2 items
